contact_id,name,email,company,industry,source,created_at,engagement_score,converted,conversion_date,channel_cost_total,funnel_stage
0,Lead_0,lead0@example.com,Company_61,Manufacturing,Email Campaign,2025-06-04,35,False,,10000,Lead
1,Lead_1,lead1@example.com,Company_164,E-Commerce,Facebook Ads,2025-06-06,18,False,,30000,Lead
2,Lead_2,lead2@example.com,Company_258,E-Commerce,Email Campaign,2025-06-22,42,False,,10000,MQL
3,Lead_3,lead3@example.com,Company_263,Manufacturing,Facebook Ads,2025-06-07,26,True,2025-06-20,30000,Customer
4,Lead_4,lead4@example.com,Company_115,SaaS,Facebook Ads,2025-06-02,30,True,2025-07-17,30000,Customer
5,Lead_5,lead5@example.com,Company_285,FinTech,LinkedIn DMs,2025-08-13,72,False,,25000,SQL
6,Lead_6,lead6@example.com,Company_216,SaaS,Referral,2025-05-31,0,False,,2500,Lead
7,Lead_7,lead7@example.com,Company_294,Healthcare,Facebook Ads,2025-06-01,2,False,,30000,Lead
8,Lead_8,lead8@example.com,Company_281,SaaS,Facebook Ads,2025-07-17,40,True,2025-08-24,30000,Customer
9,Lead_9,lead9@example.com,Company_226,EdTech,Webinar,2025-06-03,57,True,2025-06-25,5000,Customer
10,Lead_10,lead10@example.com,Company_2,Manufacturing,Facebook Ads,2025-06-10,40,True,2025-06-22,30000,Customer
11,Lead_11,lead11@example.com,Company_57,Manufacturing,Facebook Ads,2025-06-09,21,False,,30000,Lead
12,Lead_12,lead12@example.com,Company_148,FinTech,Referral,2025-07-01,24,False,,2500,Lead
13,Lead_13,lead13@example.com,Company_51,Healthcare,Email Campaign,2025-06-08,32,True,2025-07-13,10000,Customer
14,Lead_14,lead14@example.com,Company_6,SaaS,Organic,2025-06-06,43,False,,0,MQL
15,Lead_15,lead15@example.com,Company_252,Manufacturing,Facebook Ads,2025-06-01,36,False,,30000,Lead
16,Lead_16,lead16@example.com,Company_161,FinTech,Facebook Ads,2025-06-01,21,False,,30000,Lead
17,Lead_17,lead17@example.com,Company_108,Manufacturing,Organic,2025-09-01,26,False,,0,Lead
18,Lead_18,lead18@example.com,Company_204,Healthcare,Facebook Ads,2025-07-08,7,False,,30000,Lead
19,Lead_19,lead19@example.com,Company_129,Manufacturing,Email Campaign,2025-05-31,2,False,,10000,Lead
20,Lead_20,lead20@example.com,Company_179,Manufacturing,Email Campaign,2025-07-23,14,False,,10000,Lead
21,Lead_21,lead21@example.com,Company_183,SaaS,Email Campaign,2025-06-18,20,False,,10000,Lead
22,Lead_22,lead22@example.com,Company_193,E-Commerce,Email Campaign,2025-06-23,22,True,2025-08-01,10000,Customer
23,Lead_23,lead23@example.com,Company_40,SaaS,Facebook Ads,2025-07-05,11,False,,30000,Lead
24,Lead_24,lead24@example.com,Company_175,FinTech,Referral,2025-07-24,6,False,,2500,Lead
25,Lead_25,lead25@example.com,Company_46,SaaS,Facebook Ads,2025-08-24,7,False,,30000,Lead
26,Lead_26,lead26@example.com,Company_286,Manufacturing,LinkedIn DMs,2025-06-30,18,False,,25000,Lead
27,Lead_27,lead27@example.com,Company_276,FinTech,LinkedIn DMs,2025-06-06,58,False,,25000,MQL
28,Lead_28,lead28@example.com,Company_150,FinTech,Organic,2025-06-03,10,False,,0,Lead
29,Lead_29,lead29@example.com,Company_148,Manufacturing,Facebook Ads,2025-06-02,5,False,,30000,Lead
30,Lead_30,lead30@example.com,Company_235,EdTech,Email Campaign,2025-08-28,49,False,,10000,MQL
31,Lead_31,lead31@example.com,Company_73,Healthcare,Facebook Ads,2025-07-23,35,False,,30000,Lead
32,Lead_32,lead32@example.com,Company_296,E-Commerce,Webinar,2025-06-10,63,True,2025-07-06,5000,Customer
33,Lead_33,lead33@example.com,Company_13,EdTech,LinkedIn DMs,2025-07-21,32,False,,25000,Lead
34,Lead_34,lead34@example.com,Company_189,Healthcare,Webinar,2025-06-23,25,False,,5000,Lead
35,Lead_35,lead35@example.com,Company_187,Manufacturing,Facebook Ads,2025-07-04,55,False,,30000,MQL
36,Lead_36,lead36@example.com,Company_237,SaaS,Facebook Ads,2025-06-04,35,True,2025-07-08,30000,Customer
37,Lead_37,lead37@example.com,Company_47,FinTech,LinkedIn DMs,2025-06-02,69,False,,25000,SQL
38,Lead_38,lead38@example.com,Company_205,SaaS,Facebook Ads,2025-07-08,7,False,,30000,Lead
39,Lead_39,lead39@example.com,Company_300,EdTech,Facebook Ads,2025-06-04,20,False,,30000,Lead
40,Lead_40,lead40@example.com,Company_284,Healthcare,Facebook Ads,2025-05-31,38,False,,30000,Lead
41,Lead_41,lead41@example.com,Company_256,Manufacturing,LinkedIn DMs,2025-06-18,29,False,,25000,Lead
42,Lead_42,lead42@example.com,Company_60,Manufacturing,Facebook Ads,2025-06-25,9,False,,30000,Lead
43,Lead_43,lead43@example.com,Company_218,E-Commerce,Organic,2025-06-04,18,False,,0,Lead
44,Lead_44,lead44@example.com,Company_260,FinTech,Email Campaign,2025-06-07,59,False,,10000,MQL
45,Lead_45,lead45@example.com,Company_252,E-Commerce,Referral,2025-06-15,5,False,,2500,Lead
46,Lead_46,lead46@example.com,Company_204,SaaS,Facebook Ads,2025-06-22,25,False,,30000,Lead
47,Lead_47,lead47@example.com,Company_269,EdTech,Referral,2025-06-02,34,False,,2500,Lead
